ID	V_R21	V_R31	V_P21	V_P31	V_R21_err	V_R31_err	V_P21_err	V_P31_err	I_R21	I_R31	I_P21	I_P31	I_R21_err	I_R31_err	I_P21_err	I_P31_err	Period	Type	Blazhko	V_mag	I_mag
V1	0.456	0.361	2.101	4.66	0.01	0.009	0.023	0.033	0.476	0.395	2.521	5.197	0.026	0.019	0.061	0.092	0.52059	RRab	-	15.62	15.17
V3	0.459	0.351	2.328	5.035	0.013	0.013	0.037	0.051	0.511	0.43	2.779	5.579	0.028	0.028	0.063	0.086	0.5581967998476464	RRab	Bl	15.53	15.09
V5	0.546	0.389	2.569	5.237	0.02	0.019	0.048	0.067	0.6	0.459	2.479	5.344	0.028	0.023	0.07	0.097	0.5058337293896333	RRab	Bl	15.58	15.16
V6	0.48	0.382	2.128	4.785	0.009	0.009	0.024	0.032	0.489	0.478	2.279	5.071	0.019	0.024	0.065	0.069	0.5143355967025215	RRab	-	15.68	15.24
V7	0.468	0.286	2.368	4.926	0.023	0.023	0.056	0.083	0.486	0.326	2.561	5.158	0.038	0.037	0.074	0.1	0.4974233104434622	RRab	Bl	15.55	15.2
V8	0.321	0.243	2.444	5.277	0.018	0.021	0.077	0.098	0.182	0.284	2.075	0.47	0.129	0.14	0.747	0.588	0.6367192835379315	RRab	Bl	15.27	14.57
V9	0.402	0.322	2.243	4.745	0.008	0.008	0.029	0.038	0.443	0.342	2.655	5.417	0.02	0.022	0.081	0.107	0.54155	RRab	-	15.65	15.19
V10	0.452	0.343	2.4	5.039	0.008	0.008	0.019	0.026	0.484	0.412	2.673	5.702	0.062	0.065	0.266	0.32	0.56955	RRab	Bl	15.65	15.14
V11	0.452	0.37	2.161	4.785	0.008	0.011	0.026	0.03	0.423	0.253	2.296	4.826	0.022	0.023	0.073	0.109	0.5078912407993856	RRab	-	15.61	15.2
V12	0.579	0.793	4.137	4.741	0.109	0.116	0.231	0.296	0.614	0.406	3.515	1.169	0.3	0.271	0.671	0.985	0.3179	RRc	-	15.61	15.28
V14	0.488	0.324	2.492	5.116	0.009	0.008	0.021	0.032	0.481	0.337	2.806	5.633	0.021	0.021	0.054	0.078	0.6358998438089591	RRab	Bl	15.48	15.04
V15	0.412	0.3	2.206	4.587	0.008	0.008	0.022	0.03	0.647	0.718	2.282	4.88	0.038	0.048	0.062	0.051	0.53009	RRab	-	15.63	15.19
V16	0.481	0.382	2.339	5.113	0.011	0.011	0.03	0.039	0.57	0.62	2.813	6.075	0.048	0.038	0.075	0.103	0.5114914777084009	RRab	-	15.68	15.28
V17	0.269	0.045	2.386	6.208	0.04	0.035	0.143	0.781	0.836	0.596	4.396	2.597	0.829	0.563	0.276	0.419	0.5761627029633629	RRab	Bl	15.68	15.17
V18	0.46	0.486	2.478	5.169	0.03	0.038	0.091	0.091	0.436	0.392	2.621	5.364	0.038	0.033	0.079	0.116	0.5164538402343557	RRab	-	15.71	15.24
V22	0.362	0.101	2.502	4.962	0.015	0.013	0.13	0.301	0.487	0.166	2.342	4.419	0.079	0.066	0.215	0.494	0.4814081100850018	RRab	Bl	15.5	15.28
V23	0.441	0.315	2.366	5.158	0.01	0.01	0.034	0.045	0.397	0.332	2.827	5.797	0.051	0.028	0.092	0.149	0.5953816251576768	RRab	Bl	15.61	15.15
V24	0.547	0.303	2.435	5.333	0.022	0.021	0.054	0.085	0.532	0.227	2.63	5.452	0.055	0.058	0.174	0.315	0.6634	RRab	Bl	15.52	14.99
V25	0.462	0.35	2.396	4.709	0.018	0.019	0.059	0.079	0.515	0.349	2.93	5.617	0.099	0.064	0.193	0.34	0.4800603938324688	RRab	-	15.61	15.23
V26	0.48	0.368	2.271	4.99	0.012	0.011	0.031	0.045	0.507	0.33	2.626	5.717	0.026	0.025	0.066	0.099	0.59774	RRab	-	15.58	15.06
V27	0.495	0.359	2.356	5.028	0.01	0.009	0.025	0.034	0.535	0.41	2.577	5.484	0.035	0.039	0.078	0.102	0.5790648853732213	RRab	-	15.64	15.13
V28	0.309	0.075	2.622	1.485	0.052	0.038	0.16	0.725	0.405	0.114	3.226	0.932	0.066	0.065	0.182	0.51	0.4706429074065309	RRab	Bl	15.6	15.24
V29	0.369	0.198	2.297	5.228	0.019	0.02	0.069	0.11	0.186	0.122	2.368	0.285	0.033	0.033	0.216	0.305	0.4717831141097274	RRab	-	15.55	15.2
V30	0.469	0.39	2.18	4.507	0.012	0.011	0.031	0.044	0.401	0.358	2.628	5.141	0.032	0.033	0.16	0.19	0.51209	RRab	-	15.58	15.11
V31	0.497	0.357	2.348	5.028	0.012	0.011	0.029	0.042	0.473	0.359	2.577	5.468	0.015	0.014	0.054	0.077	0.5807271917759651	RRab	-	15.51	15.05
V32	0.419	0.354	2.219	4.733	0.013	0.014	0.04	0.05	0.391	0.321	2.524	5.073	0.03	0.023	0.083	0.125	0.49535	RRab	-	15.56	15.09
V33	0.437	0.315	2.242	4.906	0.016	0.015	0.052	0.073	0.405	0.239	2.506	4.655	0.053	0.047	0.166	0.318	0.525247401797185	RRab	Bl	15.57	15.11
V34	0.186	0.049	3.669	1.233	0.108	0.096	0.538	2.188	0.158	0.266	2.56	5.787	0.127	0.184	1.131	0.778	0.5591	RRab	Bl	15.64	15.2
V35	0.266	0.307	2.595	5.374	0.035	0.033	0.132	0.149	0.368	0.476	2.854	5.918	0.075	0.109	0.278	0.293	0.5297607196935697	RRab	Bl	15.62	15.19
V36	0.414	0.26	2.226	4.791	0.027	0.023	0.064	0.105	0.584	0.336	2.436	5.673	0.048	0.047	0.099	0.201	0.5455911812068621	RRab	-	15.65	15.19
V37	0.144	0.075	2.975	0.128	0.005	0.005	0.042	0.072	0.113	0.058	3.636	0.85	0.02	0.016	0.235	0.442	0.3266379651098849	RRc	-	15.65	15.26
V38	0.443	0.24	2.261	5.207	0.015	0.012	0.042	0.073	0.405	0.189	2.653	5.616	0.022	0.018	0.062	0.128	0.55801	RRab	Bl	15.69	15.21
V39	0.231	0.198	2.889	0.077	0.029	0.023	0.105	0.145	0.409	0.378	2.946	6.113	0.043	0.056	0.132	0.135	0.5870740693139896	RRab	Bl	15.59	15.16
V40	0.455	0.352	2.304	4.934	0.005	0.005	0.016	0.021	0.431	0.404	2.615	5.742	0.02	0.023	0.043	0.05	0.5515375814076274	RRab	-	15.69	15.21
V41	0.257	0.072	2.205	1.802	0.038	0.043	0.181	0.501	0.567	0.294	2.521	5.12	0.061	0.062	0.168	0.27	0.48504	RRab	Bl	15.63	15.29
V42	0.46	0.336	2.349	4.958	0.02	0.02	0.054	0.076	0.598	0.585	2.738	5.887	0.047	0.048	0.105	0.144	0.590077804929173	RRab	-	15.47	15.04
V43	0.475	0.309	2.26	4.788	0.011	0.01	0.031	0.046	0.462	0.383	2.478	5.102	0.027	0.028	0.08	0.11	0.5405193455443632	RRab	Bl	15.58	15.17
V45	0.396	0.293	2.739	5.619	0.02	0.021	0.079	0.107	0.346	0.35	2.864	6.151	0.052	0.065	0.234	0.267	0.5369098992320769	RRab	Bl	15.68	15.21
V46	0.423	0.214	2.501	5.564	0.007	0.006	0.018	0.034	0.417	0.24	2.805	6.025	0.015	0.015	0.043	0.071	0.6133871315462136	RRab	-	15.7	15.15
V47	0.117	0.008	2.224	6.13	0.046	0.04	0.337	5.319	0.643	0.505	1.956	0.79	0.412	0.476	0.669	0.856	0.5465875289464545	RRab	Bl	15.6	15.08
V48	0.463	0.292	2.343	5.168	0.012	0.011	0.03	0.045	0.469	0.313	2.899	5.922	0.054	0.045	0.126	0.216	0.62783	RRab	Bl	15.52	14.93
V49	0.539	0.43	2.111	4.473	0.018	0.016	0.044	0.063	0.63	0.442	2.736	5.674	0.066	0.037	0.127	0.21	0.54820505810255	RRab	Bl	15.53	15.18
V50	0.47	0.431	2.024	4.212	0.021	0.019	0.053	0.068	0.401	0.38	2.362	5.049	0.046	0.044	0.145	0.193	0.5131048108358941	RRab	Bl	15.62	15.25
