"Model_ID" "Z" "X" "M" "L" "Teff" "Period" "logP" "V_Skewness" "V_acuteness" "V_M0" "V_err_M0" "V_A1" "V_A1_err" "V_phi1" "V_phi1_err" "V_R21" "V_R21_err" "V_R31" "V_R31_err" "V_P21" "V_P21_err" "V_P31" "V_P31_err" "I_Skewness" "I_acuteness" "I_M0" "I_err_M0" "I_A1" "I_A1_err" "I_phi1" "I_phi1_err" "I_R21" "I_R21_err" "I_R31" "I_R31_err" "I_P21" "I_P21_err" "I_P31" "I_P31_err" "FU_Lin_Period" "FU_Growth_rate" "FO_Lin_Period" "FO_Growth_rate"
1 0.00038 0.75053 0.5 35 6000 0.75346 -0.123 -0.306 Inf 1.043 0 0.01 0 0.653 0 0.091 0 0.009 0 3.097 0 0.137 0.002 -0.289 0.742 0.404 0 0.005 0 0.083 0 0.102 0 0.011 0 4.174 0 1.88 0.004 NA NA NA NA
2 0.00038 0.75053 0.5 35 6050 0.72079 -0.142 -0.17 Inf 1.035 0 0.064 0 0.538 0 0.56 0 0.289 0 3.168 0 6.182 0 -0.155 0.387 0.413 0 0.035 0 6.261 0 0.619 0 0.34 0 4.231 0 1.527 0 0.72127 0.0093333 NA NA
3 0.00038 0.75053 0.5 35 6100 0.69229 -0.16 -0.143 Inf 1.027 0 0.086 0 0.401 0 0.631 0 0.4 0 3.348 0 0.13 0 -0.123 0.391 0.423 0 0.051 0 6.155 0 0.64 0 0.43 0 4.347 0 1.681 0 0.69281 0.015857 NA NA
4 0.00038 0.75053 0.5 35 6150 0.66689 -0.176 -0.117 Inf 1.02 0 0.107 0 0.249 0 0.592 0 0.435 0 3.526 0 0.402 0.001 -0.1 0.422 0.432 0 0.068 0 6.059 0 0.552 0 0.438 0 4.407 0 1.795 0.001 0.66735 0.021103 NA NA
5 0.00038 0.75053 0.5 35 6200 0.64382 -0.191 -0.11 Inf 1.014 0 0.133 0 0.091 0 0.514 0 0.425 0 3.644 0.001 0.598 0.001 -0.091 0.477 0.44 0 0.088 0 5.964 0 0.453 0 0.412 0 4.395 0.001 1.806 0.001 0.64414 0.024205 NA NA
6 0.00038 0.75053 0.5 35 6250 0.62269 -0.206 -0.099 Inf 1.008 0 0.162 0 6.247 0 0.435 0.001 0.392 0.001 3.675 0.001 0.707 0.002 -0.093 0.562 0.449 0 0.11 0 5.893 0 0.372 0.001 0.375 0.001 4.306 0.002 1.748 0.002 0.62288 0.026568 NA NA
7 0.00038 0.75053 0.5 35 6300 0.60313 -0.22 -0.093 0.976 1.003 0 0.194 0 6.168 0.001 0.377 0.001 0.352 0.001 3.602 0.003 0.74 0.003 -0.089 0.616 0.458 0 0.132 0 5.855 0.001 0.32 0.001 0.334 0.001 4.126 0.003 1.65 0.004 0.60318 0.027749 0.44398 0.008868
8 0.00038 0.75053 0.5 35 6350 0.58481 -0.233 -0.092 Inf 0.999 0 0.226 0 6.137 0.001 0.353 0.001 0.302 0.001 3.445 0.004 0.712 0.005 -0.089 0.664 0.467 0 0.154 0 5.855 0.001 0.303 0.001 0.281 0.001 3.877 0.005 1.513 0.006 0.58472 0.028161 0.43114 0.01674
9 0.00038 0.75053 0.5 35 6400 0.56756 -0.246 -0.124 Inf 0.996 0 0.258 0 6.145 0.001 0.363 0.001 0.252 0.001 3.242 0.004 0.62 0.006 -0.09 0.672 0.477 0 0.176 0 5.884 0.001 0.323 0.001 0.227 0.001 3.614 0.004 1.337 0.006 0.56734 0.028008 0.41896 0.023248
10 0.00038 0.75053 0.5 35 6450 0.55122 -0.259 -0.119 Inf 0.994 0 0.289 0 6.172 0.001 0.393 0.001 0.206 0.001 3.028 0.005 0.456 0.008 -0.235 0.65 0.488 0 0.196 0 5.919 0.001 0.359 0.001 0.181 0.001 3.385 0.004 1.157 0.007 0.55085 0.027309 0.40728 0.028641
