ID,Type,Period,Band,N,R21,P21,R31,P31,R41,P41,R51,P51,sigma
V1,RRab,0.52059,B,271.0,0.415$\pm$0.012,1.996$\pm$0.032,0.316$\pm$0.012,4.561$\pm$0.046,0.204$\pm$0.011,0.831$\pm$0.065,0.183$\pm$0.012,3.294$\pm$0.075,0.085
V1,RRab,0.52059,V,276.0,0.456$\pm$0.01,2.101$\pm$0.023,0.361$\pm$0.009,4.66$\pm$0.033,0.245$\pm$0.008,0.824$\pm$0.047,0.2$\pm$0.009,3.454$\pm$0.056,0.066
V1,RRab,0.52059,I,75.0,0.476$\pm$0.026,2.521$\pm$0.061,0.395$\pm$0.019,5.197$\pm$0.092,0.229$\pm$0.018,1.76$\pm$0.139,0.142$\pm$0.018,4.462$\pm$0.175,0.055
V3,RRab,0.5581967998476464,B,250.0,0.44$\pm$0.01,2.299$\pm$0.032,0.324$\pm$0.011,4.892$\pm$0.045,0.223$\pm$0.011,1.345$\pm$0.056,0.17$\pm$0.01,4.165$\pm$0.077,0.076
V3,RRab,0.5581967998476464,V,254.0,0.459$\pm$0.013,2.328$\pm$0.037,0.351$\pm$0.013,5.035$\pm$0.051,0.193$\pm$0.013,1.535$\pm$0.073,0.146$\pm$0.012,4.369$\pm$0.098,0.064
V3,RRab,0.5581967998476464,I,66.0,0.511$\pm$0.028,2.779$\pm$0.063,0.43$\pm$0.028,5.579$\pm$0.086,0.313$\pm$0.025,2.048$\pm$0.118,0.197$\pm$0.019,4.884$\pm$0.166,0.062
V5,RRab,0.5058337293896333,B,260.0,0.544$\pm$0.037,2.479$\pm$0.107,0.521$\pm$0.044,5.367$\pm$0.122,0.421$\pm$0.037,1.844$\pm$0.161,0.192$\pm$0.027,4.609$\pm$0.23,0.114
V5,RRab,0.5058337293896333,V,284.0,0.546$\pm$0.02,2.569$\pm$0.048,0.389$\pm$0.019,5.237$\pm$0.067,0.261$\pm$0.018,1.454$\pm$0.094,0.137$\pm$0.015,4.391$\pm$0.144,0.094
V5,RRab,0.5058337293896333,I,70.0,0.6$\pm$0.028,2.479$\pm$0.07,0.459$\pm$0.023,5.344$\pm$0.097,0.17$\pm$0.019,1.713$\pm$0.169,0.173$\pm$0.021,3.727$\pm$0.17,0.034
V6,RRab,0.5143355967025215,B,194.0,0.412$\pm$0.008,2.147$\pm$0.026,0.311$\pm$0.009,4.564$\pm$0.034,0.229$\pm$0.009,0.882$\pm$0.046,0.156$\pm$0.008,3.764$\pm$0.066,0.056
V6,RRab,0.5143355967025215,V,205.0,0.48$\pm$0.009,2.128$\pm$0.024,0.382$\pm$0.009,4.785$\pm$0.032,0.258$\pm$0.008,1.098$\pm$0.044,0.188$\pm$0.007,4.1$\pm$0.058,0.058
V6,RRab,0.5143355967025215,I,31.0,0.489$\pm$0.019,2.279$\pm$0.065,0.478$\pm$0.024,5.071$\pm$0.069,0.362$\pm$0.021,1.803$\pm$0.094,0.217$\pm$0.019,4.883$\pm$0.133,0.037
V7,RRab,0.4974233104434622,B,272.0,0.433$\pm$0.021,2.294$\pm$0.051,0.266$\pm$0.021,4.869$\pm$0.075,0.212$\pm$0.018,1.025$\pm$0.107,0.143$\pm$0.014,4.417$\pm$0.13,0.119
V7,RRab,0.4974233104434622,V,278.0,0.468$\pm$0.023,2.368$\pm$0.056,0.286$\pm$0.023,4.926$\pm$0.083,0.223$\pm$0.019,1.005$\pm$0.117,0.116$\pm$0.017,4.442$\pm$0.165,0.096
V7,RRab,0.4974233104434622,I,75.0,0.486$\pm$0.038,2.561$\pm$0.074,0.326$\pm$0.037,5.158$\pm$0.1,0.2$\pm$0.03,1.054$\pm$0.157,0.089$\pm$0.022,4.57$\pm$0.285,0.039
V8,RRab,0.6367192835379315,B,271.0,0.406$\pm$0.018,2.331$\pm$0.065,0.24$\pm$0.02,4.989$\pm$0.096,0.135$\pm$0.017,1.357$\pm$0.168,0.075$\pm$0.017,3.875$\pm$0.282,0.064
V8,RRab,0.6367192835379315,V,277.0,0.321$\pm$0.018,2.444$\pm$0.077,0.243$\pm$0.021,5.277$\pm$0.098,0.179$\pm$0.018,1.338$\pm$0.141,0.092$\pm$0.018,4.122$\pm$0.237,0.052
V8,RRab,0.6367192835379315,I,76.0,0.182$\pm$0.129,2.075$\pm$0.747,0.284$\pm$0.14,0.47$\pm$0.588,0.203$\pm$0.117,2.333$\pm$0.866,0.139$\pm$0.116,3.577$\pm$1.123,0.036
V9,RRab,0.54155,B,268.0,0.408$\pm$0.009,2.268$\pm$0.036,0.276$\pm$0.01,4.662$\pm$0.051,0.203$\pm$0.011,0.79$\pm$0.073,0.168$\pm$0.01,3.864$\pm$0.088,0.066
V9,RRab,0.54155,V,270.0,0.402$\pm$0.008,2.243$\pm$0.029,0.322$\pm$0.008,4.745$\pm$0.038,0.206$\pm$0.008,1.012$\pm$0.055,0.146$\pm$0.007,3.971$\pm$0.07,0.055
V9,RRab,0.54155,I,71.0,0.443$\pm$0.02,2.655$\pm$0.081,0.342$\pm$0.022,5.417$\pm$0.107,0.217$\pm$0.024,2.082$\pm$0.144,0.142$\pm$0.02,4.892$\pm$0.213,0.041
V10,RRab,0.56955,B,247.0,0.423$\pm$0.011,2.211$\pm$0.026,0.317$\pm$0.01,4.902$\pm$0.037,0.22$\pm$0.009,1.253$\pm$0.047,0.115$\pm$0.008,3.85$\pm$0.088,0.067
V10,RRab,0.56955,V,258.0,0.452$\pm$0.008,2.4$\pm$0.019,0.343$\pm$0.008,5.039$\pm$0.026,0.232$\pm$0.007,1.56$\pm$0.034,0.133$\pm$0.006,4.172$\pm$0.053,0.041
V10,RRab,0.56955,I,60.0,0.484$\pm$0.062,2.673$\pm$0.266,0.412$\pm$0.065,5.702$\pm$0.32,0.223$\pm$0.063,2.376$\pm$0.483,0.105$\pm$0.063,5.743$\pm$0.594,0.045
V11,RRab,0.5078912407993856,B,227.0,0.44$\pm$0.007,2.146$\pm$0.026,0.337$\pm$0.01,4.644$\pm$0.03,0.221$\pm$0.008,1.185$\pm$0.046,0.127$\pm$0.007,3.98$\pm$0.066,0.048
V11,RRab,0.5078912407993856,V,245.0,0.452$\pm$0.008,2.161$\pm$0.026,0.37$\pm$0.011,4.785$\pm$0.03,0.258$\pm$0.009,1.491$\pm$0.043,0.143$\pm$0.007,4.256$\pm$0.068,0.05
V11,RRab,0.5078912407993856,I,59.0,0.423$\pm$0.022,2.296$\pm$0.073,0.253$\pm$0.023,4.826$\pm$0.109,0.23$\pm$0.017,1.625$\pm$0.12,0.244$\pm$0.022,4.419$\pm$0.128,0.033
V12,RRc,0.3179,B,251.0,0.451$\pm$0.115,4.3$\pm$0.296,0.66$\pm$0.125,5.43$\pm$0.339,0.411$\pm$0.112,3.449$\pm$0.473,0.462$\pm$0.112,6.172$\pm$0.546,0.164
V12,RRc,0.3179,V,263.0,0.579$\pm$0.109,4.137$\pm$0.231,0.793$\pm$0.116,4.741$\pm$0.296,0.309$\pm$0.095,1.34$\pm$0.467,0.345$\pm$0.09,5.271$\pm$0.529,0.136
V12,RRc,0.3179,I,65.0,0.614$\pm$0.3,3.515$\pm$0.671,0.406$\pm$0.271,1.169$\pm$0.985,0.389$\pm$0.3,3.379$\pm$1.116,0.99$\pm$0.397,1.502$\pm$1.169,0.098
V14,RRab,0.6358998438089591,B,269.0,0.454$\pm$0.009,2.414$\pm$0.027,0.308$\pm$0.009,5.042$\pm$0.039,0.185$\pm$0.008,1.297$\pm$0.061,0.031$\pm$0.008,3.493$\pm$0.25,0.071
V14,RRab,0.6358998438089591,V,273.0,0.488$\pm$0.009,2.492$\pm$0.021,0.324$\pm$0.008,5.116$\pm$0.032,0.193$\pm$0.008,1.427$\pm$0.048,0.055$\pm$0.007,3.875$\pm$0.12,0.044
V14,RRab,0.6358998438089591,I,75.0,0.481$\pm$0.021,2.806$\pm$0.054,0.337$\pm$0.021,5.633$\pm$0.078,0.209$\pm$0.019,2.506$\pm$0.123,0.075$\pm$0.02,5.37$\pm$0.267,0.043
V15,RRab,0.53009,B,269.0,0.374$\pm$0.006,2.114$\pm$0.02,0.302$\pm$0.007,4.481$\pm$0.024,0.148$\pm$0.006,0.631$\pm$0.04,0.101$\pm$0.006,3.303$\pm$0.059,0.044
V15,RRab,0.53009,V,276.0,0.412$\pm$0.008,2.206$\pm$0.022,0.3$\pm$0.008,4.587$\pm$0.03,0.168$\pm$0.007,0.812$\pm$0.047,0.095$\pm$0.007,3.295$\pm$0.072,0.048
V15,RRab,0.53009,I,77.0,0.647$\pm$0.038,2.282$\pm$0.062,0.718$\pm$0.048,4.88$\pm$0.051,0.506$\pm$0.037,1.307$\pm$0.089,0.226$\pm$0.023,3.997$\pm$0.155,0.025
V16,RRab,0.5114914777084009,B,233.0,0.451$\pm$0.012,2.215$\pm$0.03,0.367$\pm$0.011,4.841$\pm$0.041,0.27$\pm$0.01,1.167$\pm$0.053,0.169$\pm$0.009,3.978$\pm$0.078,0.05
V16,RRab,0.5114914777084009,V,233.0,0.481$\pm$0.011,2.339$\pm$0.03,0.382$\pm$0.011,5.113$\pm$0.039,0.273$\pm$0.01,1.543$\pm$0.053,0.191$\pm$0.009,4.339$\pm$0.072,0.052
V16,RRab,0.5114914777084009,I,52.0,0.57$\pm$0.048,2.813$\pm$0.075,0.62$\pm$0.038,6.075$\pm$0.103,0.451$\pm$0.038,2.466$\pm$0.135,0.359$\pm$0.032,5.545$\pm$0.181,0.049
V17,RRab,0.5761627029633629,B,256.0,0.297$\pm$0.04,2.282$\pm$0.13,0.093$\pm$0.037,5.582$\pm$0.384,0.168$\pm$0.04,1.858$\pm$0.212,0.091$\pm$0.032,2.864$\pm$0.347,0.096
V17,RRab,0.5761627029633629,V,263.0,0.269$\pm$0.04,2.386$\pm$0.143,0.045$\pm$0.035,6.208$\pm$0.781,0.111$\pm$0.038,2.071$\pm$0.302,0.077$\pm$0.034,2.632$\pm$0.375,0.086
V17,RRab,0.5761627029633629,I,75.0,0.836$\pm$0.829,4.396$\pm$0.276,0.596$\pm$0.563,2.597$\pm$0.419,0.3$\pm$0.306,0.809$\pm$0.579,0.089$\pm$0.086,4.528$\pm$1.329,0.048
V18,RRab,0.5164538402343557,B,184.0,0.429$\pm$0.013,2.184$\pm$0.044,0.307$\pm$0.014,4.833$\pm$0.054,0.2$\pm$0.01,1.291$\pm$0.085,0.144$\pm$0.01,3.448$\pm$0.093,0.043
V18,RRab,0.5164538402343557,V,188.0,0.46$\pm$0.03,2.478$\pm$0.091,0.486$\pm$0.038,5.169$\pm$0.091,0.363$\pm$0.032,1.261$\pm$0.119,0.212$\pm$0.021,3.385$\pm$0.157,0.067
V18,RRab,0.5164538402343557,I,22.0,0.436$\pm$0.038,2.621$\pm$0.079,0.392$\pm$0.033,5.364$\pm$0.116,0.294$\pm$0.041,1.39$\pm$0.148,0.137$\pm$0.025,3.411$\pm$0.224,0.02
V19,RRab,0.63196972597973,B,203.0,0.317$\pm$0.015,2.479$\pm$0.071,0.096$\pm$0.017,5.4$\pm$0.18,0.132$\pm$0.013,3.359$\pm$0.131,0.05$\pm$0.014,5.616$\pm$0.268,0.051
V19,RRab,0.63196972597973,V,212.0,0.322$\pm$0.022,2.413$\pm$0.084,0.112$\pm$0.025,6.03$\pm$0.121,0.133$\pm$0.015,3.184$\pm$0.166,0.045$\pm$0.016,0.593$\pm$0.385,0.034
V20,RRab,0.49126,B,177.0,0.303$\pm$0.048,2.219$\pm$0.178,0.321$\pm$0.045,5.79$\pm$0.199,0.105$\pm$0.041,1.623$\pm$0.445,0.288$\pm$0.039,4.683$\pm$0.254,0.134
V20,RRab,0.49126,V,181.0,0.219$\pm$0.039,2.319$\pm$0.222,0.191$\pm$0.043,-0.027$\pm$0.25,0.227$\pm$0.041,3.139$\pm$0.247,0.353$\pm$0.037,5.236$\pm$0.247,0.131
V21,RRab,0.51577,B,183.0,0.396$\pm$0.029,2.796$\pm$0.074,0.351$\pm$0.026,5.09$\pm$0.1,0.205$\pm$0.025,1.244$\pm$0.148,0.081$\pm$0.021,3.549$\pm$0.311,0.086
V21,RRab,0.51577,V,187.0,0.504$\pm$0.038,2.883$\pm$0.086,0.305$\pm$0.034,5.516$\pm$0.135,0.135$\pm$0.032,2.672$\pm$0.232,0.111$\pm$0.027,0.054$\pm$0.324,0.092
V22,RRab,0.4814081100850018,B,176.0,0.422$\pm$0.019,2.43$\pm$0.065,0.221$\pm$0.016,4.818$\pm$0.104,0.143$\pm$0.014,1.631$\pm$0.144,0.101$\pm$0.012,3.755$\pm$0.194,0.061
V22,RRab,0.4814081100850018,V,178.0,0.362$\pm$0.015,2.502$\pm$0.13,0.101$\pm$0.013,4.962$\pm$0.301,0.063$\pm$0.018,2.565$\pm$0.29,0.051$\pm$0.014,4.89$\pm$0.333,0.071
V22,RRab,0.4814081100850018,I,42,0.487$\pm$0.079,2.342$\pm$0.215,0.166$\pm$0.066,4.419$\pm$0.494,0.045$\pm$0.061,1.756$\pm$1.391,0.076$\pm$0.073,2.419$\pm$0.795,0.088
V23,RRab,0.5953816251576768,B,206.0,0.423$\pm$0.01,2.19$\pm$0.033,0.303$\pm$0.01,4.891$\pm$0.044,0.158$\pm$0.01,1.62$\pm$0.07,0.126$\pm$0.01,4.306$\pm$0.088,0.055
V23,RRab,0.5953816251576768,V,217.0,0.441$\pm$0.01,2.366$\pm$0.034,0.315$\pm$0.01,5.158$\pm$0.045,0.175$\pm$0.009,1.819$\pm$0.069,0.116$\pm$0.01,4.545$\pm$0.091,0.041
V23,RRab,0.5953816251576768,I,42.0,0.397$\pm$0.051,2.827$\pm$0.092,0.332$\pm$0.028,5.797$\pm$0.149,0.135$\pm$0.036,3.297$\pm$0.273,0.065$\pm$0.037,-0.029$\pm$0.484,0.046
V24,RRab,0.6634,B,258.0,0.515$\pm$0.018,2.309$\pm$0.05,0.273$\pm$0.017,5.142$\pm$0.081,0.185$\pm$0.016,1.971$\pm$0.11,0.151$\pm$0.016,4.519$\pm$0.124,0.071
V24,RRab,0.6634,V,271.0,0.547$\pm$0.022,2.435$\pm$0.054,0.303$\pm$0.021,5.333$\pm$0.085,0.202$\pm$0.02,2.185$\pm$0.116,0.149$\pm$0.018,4.924$\pm$0.146,0.061
V24,RRab,0.6634,I,60.0,0.532$\pm$0.055,2.63$\pm$0.174,0.227$\pm$0.058,5.452$\pm$0.315,0.175$\pm$0.045,4.432$\pm$0.505,0.292$\pm$0.06,1.048$\pm$0.385,0.062
V25,RRab,0.4800603938324688,B,269.0,0.429$\pm$0.025,2.439$\pm$0.075,0.328$\pm$0.025,4.69$\pm$0.106,0.125$\pm$0.028,1.139$\pm$0.194,0.082$\pm$0.025,4.224$\pm$0.307,0.098
V25,RRab,0.4800603938324688,V,276.0,0.462$\pm$0.018,2.396$\pm$0.059,0.35$\pm$0.019,4.709$\pm$0.079,0.161$\pm$0.019,1.1$\pm$0.134,0.099$\pm$0.018,3.766$\pm$0.214,0.102
V25,RRab,0.4800603938324688,I,74.0,0.515$\pm$0.099,2.93$\pm$0.193,0.349$\pm$0.064,5.617$\pm$0.34,0.156$\pm$0.069,2.194$\pm$0.529,0.131$\pm$0.061,5.852$\pm$0.624,0.092
