ID, RA$^{\rm c}$,Dec$^{\rm c}$,Type,Blazhko,Period,Oo Type, <U> ,A$_{\rm U}$,<B>,A$_{\rm B}$,V_mag,A$_{\rm V}$,<R>,A$_{\rm R}$,I_mag,A$_{\rm I}$,QF
V1, 13:42:11.12,+28:20:33.8,RRab,-,0.52059$^{\rm b}$,OoI,15.78,1.31,15.9,1.38,15.62,1.18,15.41,0.81,15.17,0.68,AAAAA
V3, 13:42:15.71,+28:21:41.8,RRab,Bl,0.558197$^{\rm a}$,OoII,15.7,1.59,15.85,1.44,15.53,1.25,15.34,0.86,15.09,0.77,AAAAA
V5, 13:42:31.29,+28:22:20.7,RRab,Bl,0.505834$^{\rm a}$,OoI,15.97,0.94,15.9,1.42,15.58,1.26,15.55,0.56,15.16,0.83,AAAAA
V6, 13:42:02.08,+28:23:41.6,RRab,-,0.514336$^{\rm a}$,OoI,15.97,1.29,16.0,1.36,15.68,1.14,15.52,0.9,15.24,0.73,AAAAA
V7, 13:42:11.09,+28:24:10.2,RRab,Bl,0.497423$^{\rm a}$,OoI,15.97,1.43,15.88,1.47,15.55,1.25,15.52,0.92,15.2,0.74,ABBAA
V8, 13:42:05.30,+28:22:18.8,RRab,Bl,0.636719$^{\rm a}$,-,15.69,0.66,15.77,0.9,15.27,0.49,14.98,0.57,14.57,0.26,AAABA
V9, 13:41:49.51,+28:19:13.3,RRab,-,0.54155$^{\rm b}$,OoI,16.1,1.15,16.02,1.3,15.65,1.06,15.38,0.59,15.19,0.64,AAAAA
V10, 13:42:23.10,+28:25:00.6,RRab,Bl,0.56955$^{\rm b}$,OoI,15.93,1.03,16.0,1.03,15.65,0.89,15.37,0.44,15.14,0.54,AAAAA
V11, 13:41:59.98,+28:19:11.8,RRab,-,0.507891$^{\rm a}$,OoI,15.74,1.42,15.89,1.49,15.61,1.23,15.42,0.88,15.2,0.72,AAAAA
V12, 13:42:11.26,+28:20:17.0,RRc,-,0.3179$^{\rm c}$,-,15.87,0.58,15.79,0.81,15.61,0.59,15.47,0.3,15.28,0.29,BACAA
V13, 13:42:09.58,+28:20:24.4,RRd,Bl,0.356407$^{\rm a}$,-,16.01,0.72$^*$,16.02,1.17$^*$,15.49,0.92,15.46,0.39$^*$,15.21,0.45$^*$,--C--
V14, 13:42:07.81,+28:20:01.1,RRab,Bl,0.6359$^{\rm a}$,OoII,15.89,1.12,15.85,1.34,15.48,1.11,15.31,0.83,15.04,0.6,AAAAA
V15, 13:42:04.67,+28:18:08.5,RRab,-,0.53009$^{\rm b}$,OoI,16.0,0.97,15.96,1.26,15.63,1.09,15.48,0.5,15.19,0.45,AAAAA
V16, 13:41:48.71,+28:21:08.0,RRab,-,0.511491$^{\rm a}$,OoI,15.96,1.36,16.02,1.39,15.68,1.16,15.54,0.82,15.28,0.72,AAAAA
V17, 13:42:22.42,+28:15:22.7,RRab,Bl,0.576163$^{\rm a}$,OoI,16.11,0.66,16.02,1.09,15.68,0.9,15.45,0.39,15.17,0.38,ABBAA
V18, 13:42:18.95,+28:17:47.3,RRab,-,0.516454$^{\rm a}$,OoI,15.97,1.3,15.99,1.34,15.71,1.12,15.44,0.9,15.24,0.58,AAAAA
