	Model_ID	Z	X	M	L	Teff	Period	logP	V_M0	V_err_M0	V_A1	V_A1_err	V_phi1	V_phi1_err	V_R21	V_R21_err	V_R31	V_R31_err	V_P21	V_P21_err	V_P31	V_P31_err	I_Skewness	I_acuteness	I_M0	I_err_M0	I_A1	I_A1_err	I_phi1	I_phi1_err	I_R21	I_R21_err	I_R31	I_R31_err	I_P21	I_P21_err	I_P31	I_P31_err
16	19	0.00038	0.75053	0.5	35	6900	0.32118	-0.493	0.925	0.0	0.246	0.0	0.262	0.0	0.093	0.0	0.148	0.0	3.669	0.002	0.939	0.001	-0.329	inf	0.553	0.0	0.139	0.0	0.084	0.0	0.097	0.0	0.148	0.0	4.641	0.002	1.579	0.001
17	20	0.00038	0.75053	0.5	35	6950	0.31313	-0.504	0.921	0.0	0.26	0.0	0.274	0.0	0.093	0.0	0.142	0.0	3.343	0.001	0.838	0.001	-0.323	inf	0.564	0.0	0.145	0.0	0.104	0.0	0.082	0.0	0.141	0.0	4.276	0.001	1.461	0.001
18	21	0.00038	0.75053	0.5	35	7000	0.30564	-0.515	0.918	0.0	0.269	0.0	0.271	0.0	0.1	0.0	0.133	0.0	3.106	0.001	0.713	0.001	-0.316	inf	0.572	0.0	0.15	0.0	0.118	0.0	0.08	0.0	0.124	0.0	3.727	0.001	1.282	0.001
19	22	0.00038	0.75053	0.5	35	7050	0.29822	-0.525	0.915	0.0	0.275	0.0	0.269	0.0	0.104	0.0	0.125	0.0	2.954	0.0	0.564	0.0	-0.318	inf	0.581	0.0	0.153	0.0	0.131	0.0	0.088	0.0	0.11	0.0	3.325	0.001	1.067	0.001
20	23	0.00038	0.75053	0.5	35	7100	0.29109	-0.536	0.911	0.0	0.276	0.0	0.264	0.0	0.106	0.0	0.117	0.0	2.842	0.0	0.399	0.0	-0.313	inf	0.589	0.0	0.153	0.0	0.141	0.0	0.099	0.0	0.099	0.0	3.024	0.0	0.813	0.0
37	40	0.00038	0.75053	0.5	45	6750	0.42461	-0.372	0.661	0.0	0.216	0.0	0.372	0.0	0.116	0.0	0.142	0.0	6.222	0.002	1.489	0.002	-0.359	inf	0.251	0.0	0.125	0.0	0.206	0.0	0.167	0.0	0.14	0.0	0.121	0.002	1.958	0.002
38	41	0.00038	0.75053	0.5	45	6800	0.41454	-0.382	0.656	0.0	0.233	0.0	0.357	0.0	0.086	0.0	0.122	0.0	6.229	0.001	1.444	0.001	-0.353	inf	0.262	0.0	0.132	0.0	0.192	0.0	0.143	0.0	0.12	0.0	0.024	0.001	1.932	0.001
39	42	0.00038	0.75053	0.5	45	6850	0.40403	-0.394	0.652	0.0	0.244	0.0	0.35	0.0	0.055	0.0	0.106	0.0	0.007	0.002	1.412	0.001	-0.347	inf	0.272	0.0	0.136	0.0	0.186	0.0	0.117	0.0	0.104	0.0	6.215	0.001	1.959	0.001
40	43	0.00038	0.75053	0.5	45	6900	0.39392	-0.405	0.647	0.0	0.252	0.0	0.339	0.0	0.027	0.0	0.093	0.0	0.305	0.003	1.38	0.001	-0.338	inf	0.282	0.0	0.137	0.0	0.175	0.0	0.088	0.0	0.092	0.0	6.136	0.001	2.023	0.001
41	44	0.00038	0.75053	0.5	45	6950	0.38415	-0.415	0.642	0.0	0.255	0.0	0.325	0.0	0.016	0.0	0.084	0.0	1.434	0.004	1.337	0.001	-0.336	inf	0.292	0.0	0.137	0.0	0.162	0.0	0.055	0.0	0.084	0.0	6.213	0.001	2.168	0.001
42	45	0.00038	0.75053	0.5	45	7000	0.37474	-0.426	0.637	0.0	0.252	0.0	0.305	0.0	0.028	0.0	0.077	0.0	2.086	0.001	1.307	0.0	-0.334	inf	0.3	0.0	0.134	0.0	0.149	0.0	0.027	0.0	0.077	0.0	0.474	0.002	2.282	0.001
55	58	0.00038	0.75053	0.5	55	6750	0.50124	-0.3	0.439	0.0	0.229	0.0	0.481	0.0	0.172	0.0	0.104	0.0	1.192	0.002	2.464	0.003	-0.334	inf	0.035	0.0	0.125	0.0	0.31	0.0	0.17	0.0	0.103	0.0	1.153	0.002	2.828	0.003
