
  0%|          | 0/2000 [00:00<?, ?it/s]
  0%|          | 1/2000 [00:07<4:14:35,  7.64s/it, train: 262.8691, test: 7.8293]
  0%|          | 2/2000 [00:08<1:53:45,  3.42s/it, train: 5.1320, test: 4.4007]  
  0%|          | 3/2000 [00:08<1:08:45,  2.07s/it, train: 2.2505, test: 1.7403]
  0%|          | 4/2000 [00:09<47:37,  1.43s/it, train: 1.5355, test: 1.2513]  
  0%|          | 5/2000 [00:09<35:55,  1.08s/it, train: 1.2648, test: 1.5194]
  0%|          | 6/2000 [00:09<28:54,  1.15it/s, train: 1.2573, test: 1.2267]
  0%|          | 7/2000 [00:10<24:25,  1.36it/s, train: 1.0998, test: 1.0271]
  0%|          | 8/2000 [00:10<21:29,  1.54it/s, train: 1.0212, test: 0.9671]
  0%|          | 9/2000 [00:11<19:31,  1.70it/s, train: 0.9437, test: 0.8663]
  0%|          | 10/2000 [00:11<18:11,  1.82it/s, train: 0.9165, test: 1.0263]
  1%|          | 11/2000 [00:12<17:17,  1.92it/s, train: 1.0489, test: 1.1847]
  1%|          | 12/2000 [00:12<16:38,  1.99it/s, train: 1.0352, test: 1.2251]
  1%|          | 13/2000 [00:13<16:13,  2.04it/s, train: 0.8812, test: 0.7752]
  1%|          | 14/2000 [00:13<15:55,  2.08it/s, train: 0.7607, test: 1.0082]
  1%|          | 15/2000 [00:14<15:42,  2.11it/s, train: 0.6023, test: 0.5390]
  1%|          | 16/2000 [00:14<15:33,  2.13it/s, train: 0.4754, test: 0.3466]
  1%|          | 17/2000 [00:14<15:26,  2.14it/s, train: 0.2711, test: 0.1843]
  1%|          | 18/2000 [00:15<15:21,  2.15it/s, train: 0.1845, test: 0.1387]
  1%|          | 19/2000 [00:15<15:18,  2.16it/s, train: 0.1202, test: 0.1331]
  1%|          | 20/2000 [00:16<15:17,  2.16it/s, train: 0.0994, test: 0.0805]
  1%|          | 21/2000 [00:16<15:15,  2.16it/s, train: 0.0682, test: 0.0541]
  1%|          | 22/2000 [00:17<15:14,  2.16it/s, train: 0.0586, test: 0.0689]
  1%|          | 23/2000 [00:17<15:12,  2.17it/s, train: 0.0627, test: 0.0685]
  1%|          | 24/2000 [00:18<15:11,  2.17it/s, train: 0.0589, test: 0.0736]
  1%|▏         | 25/2000 [00:18<15:10,  2.17it/s, train: 0.0466, test: 0.0373]
  1%|▏         | 26/2000 [00:19<15:09,  2.17it/s, train: 0.0510, test: 0.0485]
  1%|▏         | 27/2000 [00:19<15:09,  2.17it/s, train: 0.0491, test: 0.0605]
  1%|▏         | 28/2000 [00:20<15:10,  2.17it/s, train: 0.0554, test: 0.0873]
  1%|▏         | 29/2000 [00:20<15:09,  2.17it/s, train: 0.0501, test: 0.0598]
  2%|▏         | 30/2000 [00:20<15:09,  2.17it/s, train: 0.0470, test: 0.0661]
  2%|▏         | 31/2000 [00:21<15:08,  2.17it/s, train: 0.0531, test: 0.0439]
  2%|▏         | 32/2000 [00:21<15:06,  2.17it/s, train: 0.0595, test: 0.0810]
  2%|▏         | 33/2000 [00:22<15:06,  2.17it/s, train: 0.0527, test: 0.0375]
  2%|▏         | 34/2000 [00:22<15:05,  2.17it/s, train: 0.0365, test: 0.0374]
  2%|▏         | 35/2000 [00:23<15:05,  2.17it/s, train: 0.0439, test: 0.0645]
  2%|▏         | 36/2000 [00:23<15:05,  2.17it/s, train: 0.0455, test: 0.0667]
  2%|▏         | 37/2000 [00:24<15:04,  2.17it/s, train: 0.0810, test: 0.1129]
  2%|▏         | 38/2000 [00:24<15:04,  2.17it/s, train: 0.0697, test: 0.0902]
  2%|▏         | 39/2000 [00:25<15:03,  2.17it/s, train: 0.0670, test: 0.0324]
  2%|▏         | 40/2000 [00:25<15:03,  2.17it/s, train: 0.0508, test: 0.0658]
  2%|▏         | 41/2000 [00:26<15:02,  2.17it/s, train: 0.0501, test: 0.0348]
  2%|▏         | 42/2000 [00:26<15:02,  2.17it/s, train: 0.0389, test: 0.0322]
  2%|▏         | 43/2000 [00:26<15:01,  2.17it/s, train: 0.0357, test: 0.0356]
  2%|▏         | 44/2000 [00:27<15:01,  2.17it/s, train: 0.0350, test: 0.0510]
  2%|▏         | 45/2000 [00:27<15:01,  2.17it/s, train: 0.0373, test: 0.0428]
  2%|▏         | 46/2000 [00:28<15:00,  2.17it/s, train: 0.0337, test: 0.0361]
  2%|▏         | 47/2000 [00:28<15:00,  2.17it/s, train: 0.0359, test: 0.0547]
